category,star,degree,branch,code,aux_num,verse,mansion28,seven_governors
女,土,3,丑,女土3丑,6.0,坎離變垢乾坤亮，春回宇宙萬物強。土星過丑轉三度，父是屬牛母屬羊。,28宿,七政
女,土,4,丑,女土4丑,3.0,荷花萌動百花生，楊柳枝頭杜鵑鳴。生辰五月初九日，喜氣長加百福增。,角,氣
女,土,7,巳,女土7巳,4.0,百花開放正芳榮，畫堂常聞燕語聲。閏三月生二十七，杜鵑枝上子初成。,亢,孛
女,土,7,丑,女土7丑,9.0,癸丑桑柘木命生，壽享七十八歲齡。別卻凡塵辭人世，一枕南柯命歸空。,氐,羅
女,土,9,巳,女土9巳,7.0,姻緣前世配夫妻，月老配定不差移。妻宮屬豬生四子，丹桂青青更出奇。,房,計
女,土,10,巳,女土10巳,1.0,土星纏女過巳宮，晚景福壽山海同。母年生你三十正，果然弄璋應羆熊。,心,金
女,土,11,酉,女土11酉,2.0,三十一二身不寧，一場煩惱一場驚。災難口舌破財至，凡事顛倒有悲聲。,尾,木
女,土,13,酉,女土13酉,8.0,此命寅時生見祥，姻緣配合小洞房。群陰和合秋蟬噪，意欲庭前丹桂香。,箕,水
女,土,14,酉,女土14酉,5.0,不宜守祖家業凋，漸漸消磨似風搖。雖然盈積園林旺，別遷為福七刻交。,斗,火
女,土,19,巳,女土19巳,10.0,陽順陰逆定世間，手足宮中仔細參。姐妹兩人居兩母，次序之中你居先。,牛,土
女,文,2,子,女文2子,8.0,乙日丁亥時正明，荷戴天恩祿千鐘。五福並臻君獨受，光宗耀祖顯門庭。,女,龍
女,文,5,子,女文5子,5.0,庚子運臨步步高，五度過子化金鰲。九天雨露恩光重，職位升遷樂滔滔。,虛,紫
女,文,6,子,女文6子,2.0,先天注定兄弟宮，雁過長江五個鳴。手足行中你居長，不是同胎一母生。,危,文
女,文,6,辰,女文6辰,6.0,六度遇辰清風景，百年福祿百年榮。文星纏女爭春色，母親屬羊父屬龍。,室,武
女,文,7,辰,女文7辰,3.0,蟠桃枝上桂花香，雨過園林景色涼。生辰五月二十四，春雷一聲震帝邦。,壁,陰
女,文,10,申,女文10申,4.0,海棠榴花似火紅，洞房添喜又重明。閏四月生十二日，梨花朵朵似金鈴。,奎,陽
女,文,10,辰,女文10辰,9.0,丙辰沙中土命生，寒雞唱處壽必終。八十四歲辭人世，一枕黃粱命歸空。,婁,巨
女,文,12,申,女文12申,7.0,鴛鴦和鳴配鸞鳳，妻宮屬蛇豈尋常。滿樹花開結六果，福祿榮華百年昌。,胃,
女,文,13,申,女文13申,1.0,安身立命非偶然，母命生你三十三。一枝丹桂堂前立，晚景福祿自清閑。,昂,
女,文,14,申,女文14申,10.0,文曲失限過申宮，姐妹五人母不同。次序之中你居長，必有石皮在其中。,畢,
女,木,4,寅,女木4寅,4.0,綠柳苒苒杏花天，閏三月生降人間。生辰正逢十二日，父母添喜在堂前。,嘴,
女,木,6,寅,女木6寅,7.0,姻緣前定非偶然，妻宮屬蛇三子全。蘭房馨香聲名美，夫妻和諧滿郡傳。,參,
女,木,7,寅,女木7寅,1.0,命宮注定非偶然，庚相共照降人間。母命方交二十七，生你恩同罔極天。,井,
女,木,8,午,女木8午,2.0,二十五六運命低，凡事不利惹是非。事事否泰皆由命，破財口舌人又離。,鬼,
女,木,10,午,女木10午,8.0,命中巳時姻緣孤，身居側室配老夫。老陽少陰前生定，丹桂秋香產鳳雛。,柳,
女,木,11,午,女木11午,5.0,生逢時刻命非強，田宅不旺星不良。離祖遷移興家業，若守祖業還不祥。,星,
女,木,11,戌,女木11戌,9.0,乙日丁丑時上清，才高班馬占魁名。金玉滿堂重重富，採芹折桂步蟾宮。,張,
女,木,15,戌,女木15戌,6.0,庚戌大運到此間，人財兩旺福漸添。良玉加琢為至寶，爵位升遷現世仙。,翼,
