條文號碼,卦,條文
1111,乾,子時初刻弟兄稀 妻非趙姓必分離 長子水土得全保 父母宮中數不齊
1112,履,先天定數可無疑 父庚屬鼠必分離 萱堂屬馬安然樂 壽福綿綿山海齊
1113,同人,大運甲子喜重重 任意謀為無不通 若能常懷勤儉志 一生名利自然豐
1114,无妄,二刻數定子息宮 丹桂堂前一子成 不惟老來有依靠 更喜立業振家聲
1115,姤,子時一刻定命宮 夫主金水免刑沖 父水母火百年泰 子息非木不能成
1116,訟,六數逢訟定妻房 元配屬鼠必早亡 月老重訂姻緣簿 再娶屬馬才妥當
1117,遂,運交甲子定吉凶 上五年中百事通 交到下五子運位 懶對菱花整玉容
1118,否,一枝丹桂出廣寒 嫦娥月殿待人攀 運臨甲子遊泮水 脫穎超群正不凡
1121,乾,辰時初刻生人孤 子木妻火必姓朱 父母火土父先逝 雁行之中獨自虛
1122,履,二爻初交定命宮 父庚屬鼠壽先終 慈母屬羊娛晚景 壽比南山不老松
1123,同人,運交丙子主歡欣 凡事謀為稱心情 家門康泰添喜氣 丹桂庭前自發榮
1124,无妄,男女宮中注得清 枝頭丹桂鳥雙鳴 因生二刻時辰定 一兄一弟家道興
1125,姤,辰時一刻定命宮 父母水木免刑沖 夫主金水子三本 姐妹三人你居中
1126,訟,六數爻成主有愛 元配剋去不自由 屬鼠佳人難偕老 再娶屬羊到白頭
1127,遂,大運丙子喜悉分 半喜半悉兩相臨 上五年中平安好 下五年中多不平
1128,否,丙子運臨步康壯 胸羅星斗煥文章 青衫初卸珠花佩 光宗耀祖照門牆
1131,乾,申時初刻定命元 子水妻木必姓田 兄弟三人身居二 剋去佳人又數年
1132,履,數逢暌卦定雙親 椿萱難得兩俱存 父命屬鼠先剋去 母命屬猴悲孤身
1133,同人,運交戊子百事成 先天定數福祿肥 一門兩露從天降 家道興隆瑞氣生
1134,无妄,二刻生人數定明 注就堂上三子成 不惟老來多依靠 更喜富貴振家聲
1135,姤,申時一刻主孤孀 夫君宜配金水強 長子並定火土命 父水母火母先亡
1136,訟,蘭房花燭是前生 命中數定剋妻宮 屬鼠佳人先剋去 繼配屬猴百年長
1137,遂,運行戊子戊運強 上五年間喜非常 子運交來災殃至 懶向庄台去整庄
1138,否,數交戊子喜運通 有緣折桂廣寒宮 一枝高向天邊折 萬里青雲足下生
1141,乾,子時二刻有刑沖 二親水火父先終 妻金子土不剋損 兄弟三人君居中
1142,履,歸妹親宮主生悉 父相屬鼠定難留 慈母數定屬雞相 百年堂上壽春秋
1143,同人,大運交臨庚子宮 凡事謀為無不成 繼有否來終變吉 森森喜慶面春風
1144,无妄,男女宮中多吉祥 二刻命定果真強 前世積得陰功厚 生來四子耀門牆
1145,姤,年方七歲知讀書 神聰夙慧有誰如 佇看丹桂枝枝藏 嫦娥推上七香車
1146,訟,身宮六數定鴛鴦 浴到春江有一傷 結髮屬鼠先離別 再娶屬雞好景長
1147,遂,運交庚子喜有驚 口舌麻煩子運中 上五年中平安過 下五年中暗恨生
1148,否,運行庚子最為奇 一旦青雲正可期 月下羡君逢造化 凌波攀折桂宮枝
1151,乾,辰時生人二刻中 妻非水火主剋刑 父火母金父先剋 兒郎土命方能成
1152,履,二數行來中孚纏 雙親位上不周全 父命屬鼠先剋去 戌相萱堂春百年
1153,同人,運行壬子事事成 利益禎祥大順通 門前戶內添喜氣 財源如意稱心情
1154,无妄,生逢二刻定子宮 男女宮中遇吉星 必是前世陰德好 丹桂庭前五子成
1155,姤,一十九歲正青春 寒窗苦讀習詩文 班馬文章胸中有 待看時至會風雲
1156,訟,命中定數剋妻房 元配屬鼠定要傷 再娶佳人成婚配 必是屬狗才妥當
1157,遂,運交壬子兩平交 家門吉慶樂陶陶 上五年中多遂意 下五逢之多煩勞
1158,否,胸羅萬卷堅賢書 夜半研磨費苦思 壬子運程初遂意 一朝錦繡著皇衣
1161,乾,申時二刻定命真 妻非水火難保存 父母命土子立火 手足宮中有三人
1162,履,欲知親壽數中求 修短有數不自由 父相屬鼠先去世 母命屬豬福悠悠
1163,同人,十三十四流年吉 入學求謀無不利 好鳥枝頭遍地春 精神快慰心如意
1164,无妄,四數交來定子宮 生逢二刻得相生 命中子嗣多興旺 一樹蟠桃六果成
1165,姤,三十一歲主吉祥 招來名利兩榮昌 事事遂心還順手 前程錦綠步康壯
1166,訟,元配佳人不到頭 命占屬鼠定難留 鴛鴦又待重相繼 修得豬妻偕百秋
1167,遂,女命數在二刻生 天緣已注剋子宮 思想老來作何依 換養他子作兒童
1168,否,芸窗奮志費光陰 得路雲衢總不能 請君先解休囚煞 解破一躍到龍門
1171,乾,運交甲木百事強 得心應手喜非常 逢凶化吉財源旺 縱然遇難也成祥
1172,履,妻妾宮中犯刑沖 先天定數最分明 雖然二子堂前立 不是同胞一母生
1173,同人,三十七八命運通 喜氣盈門百福臻 各樣謀為多順利 春風春日伴崢嶸
1174,无妄,男女宮中自推詳 蟠桃七果列華堂 宮中雖然有破耗 二刻注定享榮昌
1175,姤,運交甲木犯虛耗 財帛如同火見水 不遂心事有多般 明明正道向空跑
1176,訟,運交甲木喜臨門 應濼妻房屋麒麟 今日高堂添生樂 他年門庭又一新
1177,遂,埋兒煞在命中遊 子息天亡不到頭 養兒指望送終老 反送兒童葬荒邱
1178,否,命中有煞犯浮花 縱有家財散似麻 左手費力積進後 右手輕輕送與他
1181,乾,運交子位百事享 添財進喜稱心胸 時來風送滕王閣 萬里無去月正明
1182,履,子息宮中耗星纏 數定二子不周全 一子成家能立業 一子破家散財源
1183,同人,六十一二流年通 百事隨心祿利增 逍遙快樂精神爽 恰似乘船遇順風
1184,无妄,四爻入臨主兒郎 子息宮中整四雙 內中雖然有破損 二刻生人尚吉祥
1185,姤,大運交子不遂心 駁心鎖碎總勞身 不妨退守將時待 謹慎居家禍免侵
1186,訟,運臨子位喜呈祥 天賜麟兒興北堂 丹桂枝頭看秀發 由來雲月護天香
1187,遂,七數行來晦合宮 關煞混離犯刑沖 待過一歲二歲去 避免成人保安寧
1188,否,命犯將軍煞可傷 交朋結友少忠良 對面逢迎說好話 暗箭來時要謹防
1211,夬,綠水依依繞宅東 長空孑影一孤鴻 知君煢獨無兄弟 全賴躬親整戶庭
1212,兌,家人二數定雙親 父命屬鼠已歸陰 慈母同庚亦遭剋 君家堂上早無人
1213,革,運行甲子悶重重 所謀所望總成空 恰似花開逢急雨 又如秋月正雲朦
1214,隨,甲運交來主不祥 高堂嚴父主剋傷 世間百行先推孝 君已無依哭斷腸
1215,大過,孤燕呢喃繞畫樑 月中免影伴房一 腔心事對誰說凄 涼獨自理容風光
1216,困,月老注定無改移 前定姻緣禽世宜 蘭房佳人丁氏女 天然匹配作賢妻
1217,咸,大運甲子定分明 下五年間喜氣生 上五年間心不遂 雖有美花不照情
1218,萃,數中注定二刻生 學古亙今文業精 得遊泮水身榮貴 平步青去萬里程
1221,夬,花開棠棣各芬芳 兄弟五人不成行 雁行排列君居長 造化早已有主張
1222,兌,乾坤二老定休囚 數注天命有短修 母命屬牛父屬鼠 雙親俱已赴仙樓
1223,革,運交丙子主生災 明月不明花不開 凡事謀為多陰滯 口吉是非有破財
1224,隨,運交子位主啼閬 堂上父親命已空 煩惱苦艱無處訴 正如皜月被雲朦
1225,大過,一千二百定命宮 姐妹五人一母生 算來君是第三位 春花秋月繞階行
1226,困,姻緣簿上注得清 並蒂逢花色更新 妻配陶氏真佳偶 相庄鴻業百年春
1227,咸,運交丙子不遂心 凡事煩悉百感生 下五年中猶自可 上五年中暗呻吟
1228,萃,子時生人命運空 寒窗株守苦無工 勸君莫作青雲想 鱗錦須潛泮水中
1231,夬,鴻雁紛飛排成行 兄弟七人石皮傷 次序排來君是長 三春桃李各芬芳
1232,兌,二親宮中定得清 父親鼠庚壽早終 母親虎命亦仙去 同作黃泉路上人
1233,革,戊子運程主不祥 破財口舌有幾場 凡事謀為艱順利 好比秋草遇嚴霜
1234,隨,運交甲位亂紛紛 家門不幸剋母親 小人防犯生災害 添來煩惱又虛敬
1235,大過,先天定數有陰陽 女命宮中仔經詳 姐妹七人同一體 次序排來四居行
1236,困,六數交兌更無疑 命中注配史姓妻 福祿得來在下五 賞心樂事有精神
1237,咸,大運戊子吉凶均 上五年中不遂心 財源得來在下五 賞心樂事有精神
1238,萃,一枝丹桂出仙環 全賴扶持種世間 十二稚年能及第 早因夙慧注前緣
1241,夬,棠棣花開朵朵香 手足宮中少剋傷 兄弟八人身居長 往來堂上任翱翔
1242,兌,嚴父屬鼠定得真 慈母兔相非虛雲 乾坤數在空陷地 雙親合主命歸陰
1243,革,運交庚子多虛敬 官非口難事難通 日落沈西難見影 月被去遮少光明
1244,隨,運至子宮甚不祥 堂上慈親必剋亡 白旛正被風搖動 一番思念一番傷
1245,大過,生逢二刻主文名 父子金榜各高陞 一門榮權自天定 仕路功勛數注真
1246,困,前世已定是鴛鴦 飛來飛去傍池塘 五音合得吳氏女 並蒂蓮花色自香
1247,咸,運交庚子定吉凶 十年否泰兩相平 上五年間多不利 下五逢之主享通
1248,萃,定君文學海樣深 二十四歲入伴宮 少年莫謂無知已 須信數中有鬼神
1251,夬,先天神數定得清 兄弟行中有九人 內中必然有代破 獨占百花第一春
1252,兌,雲遮日月兩無光 乾坤爻內有刑傷 嚴父鼠庚先剋去 慈母屬龍不久長
1253,革,運至壬子主破財 提防口舌是非來 家門不順多啾即 命運早已天安排
1254,隨,交到甲運主剋妻 人財兩損福難齊 孤衾夜月禽誰伴 起立中宵意自迷
1255,大過,桂花兩朵發堂前 美秀輕盈自比妍 姐妹二人不同母 次第排來你在先
1256,困,一千二百巽中遊 共衾同枕永不憂 妻宮配定瀋氏女 雙雙有壽到白頭
1257,咸,壬子運程喜帶悉 上王年間百事休 交到下五多吉慶 和諧家宅總無憂
1258,萃,窗下十年苦用功 虛星入度未享通 迨至三十零六歲 從此廣寒到月宮
1261,夬,鴿原宮上冷清清 棣萼樓前只子身 鴻雁孤影徘徊下 先天定數君一人
1262,兌,二數大壯數已成 雙親庚位注分明 嚴父屬鼠先去世 慈母屬蛇赴幽冪
1263,革,十三十四命運低 魚遊淺水被蝦欺 事不遂意時顛倒 枝頭小鳥只鳴啼
