# Wiki Systems Index
# Format: filename (no .md), display_name_zh, display_name_en, category, tags (comma-separated)

babylonian,巴比倫占星,Babylonian Astrology,ancient,ancient mesopotamia zodiac omen babylon 巴比倫 美索不達米亞
hellenistic,希臘化占星,Hellenistic Astrology,western,hellenistic greek lots profections western 希臘 古典
vedic,印度占星（Jyotish）,Vedic Astrology,indian,vedic jyotish nakshatra dasha sidereal india 印度 吠陀
qizheng,七政四餘,Seven Governors & Four Extras,chinese,chinese qizheng siyu seven-governors tang 七政 四餘 中國
ziwei,紫微斗數,Zi Wei Dou Shu,chinese,chinese ziwei purple-star ming-dynasty 紫微 斗數
dogon,多貢占星,Dogon Astrology,african,dogon african sirius mali nommo 多貢 非洲 天狼星
tibetan,藏傳占星,Tibetan Astrology,asian,tibetan kalachakra mewa parkha bon buddhist 藏傳 西藏
andean,安地斯占星,Andean Cosmology,ancient,andean inca ceque southern-cross pleiades 安地斯 印加
diqiyijue,滌器遺訣,Diqiyijue,chinese,diqiyijue shaoyong qishu numerology 滌器遺訣 邵子氣數
astronomical_geomancy,地占占星,Astronomical Geomancy,middle_east,geomancy geomantia gerard cremonensis arabic medieval divination 12-houses figures 地占 中世紀
armenian_astrology,亞美尼亞占星,Armenian Astrology,obscure,armenian zodiac haykian arevakhach manuscript indigenous obscure 亞美尼亞 黃道
